Geckos,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Deuterostomia,730.3111111111083
Chordata,736.3333333333303
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.0754451696943
Amniota,323.8571566666633
Sauria,281.1099872463733
Lepidosauria,254.8636374999973
Squamata,215.2695554166633
Bifurcata,215.2695554166633
Gekkota,128.3333333333303
