Ginger,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
237140,158.3333333333303
Liliopsida,138.3632482905953
Petrosaviidae,123.4795044444413
242773,123.3333333333303
commelinids,123.3333333333303
280511,112.3333333333303
308802,106.3333333333303
Zingiberales,81.1656213333303
309486,71.4486933333303
309487,69.4742183333303
309488,65.8233133333303
Zingiberaceae,37.4034011642126
Zingiber,20.368367248771502
Zingiber officinale,3.3333333333303017
