Giraffes,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.07544516969404
Amniota,323.85715666666306
Mammalia,182.52639583333007
Theria,166.99876833333008
Eutheria,108.34299128204809
Boreoeutheria,100.78521379084648
Laurasiatheria,92.76544166666338
2034426,85.20914761904437
2034427,81.72584999999677
Cetartiodactyla,68.14305874999675
2036554,66.83969999999675
2036555,59.65735925925596
Ruminantia,50.43069999999676
Pecora,32.16298333333006
2038001,29.96927083333006
Giraffidae,17.24643333333006
