Gopher,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.075445169694
Amniota,323.857156666663
Mammalia,182.52639583333
Theria,166.99876833333002
Eutheria,108.34299128204802
Boreoeutheria,100.78521379084641
Euarchontoglires,94.22883293110782
Glires,87.86745692307362
Rodentia,80.53143264367482
Sciurognathi,80.53143264367482
2027159,77.34541976190143
2027160,73.73333333333002
2029943,69.89007777777442
2029944,33.66920833333002
Geomyidae,14.552222222218916
