Gorillas,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.22776681333016
Euteleostomi,432.9552881287852
Sarcopterygii,415.1914372509772
Dipnotetrapodomorpha,415.1914372509772
Tetrapoda,359.07544516969415
Amniota,323.8571566666632
Mammalia,182.5263958333302
Theria,166.99876833333022
Eutheria,108.34299128204822
Boreoeutheria,100.78521379084661
Euarchontoglires,94.22883293110802
2032192,89.22089999999682
2032193,84.64257083333021
Primates,79.20523280701441
Haplorrhini,70.97017333333021
Simiiformes,46.39287077519071
Catarrhini,32.459713450289314
Hominoidea,23.24200761904451
Hominidae,19.11474937499691
Homininae,12.238296382975602
Gorilla,7.5587833333302115
