Grapevine,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333296
Streptophyta,757.1458473333296
Embryophyta,554.8835853333296
48507,518.4392558333296
Tracheophyta,435.05225222221867
Euphyllophyta,407.92479179486764
Spermatophyta,321.34973333332965
Magnoliophyta,191.29828333332966
Mesangiospermae,158.33333333332968
55894,146.30910855184868
55895,143.09615266666268
eudicotyledons,131.53834272332966
Gunneridae,124.33333333332968
55910,124.33333333332968
Pentapetalae,124.33333333332968
55912,117.33333333332968
Vitaceae,71.28206120085108
Vitis,8.728238459784734
