Grasshopper,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Protostomia,747.33333333333
Ecdysozoa,747.33333333333
Panarthropoda,747.33333333333
Arthropoda,673.0005333333299
Mandibulata,646.6913333333299
Pancrustacea,599.33333333333
Hexapoda,498.47333333332995
673916,436.58333333332996
Insecta,405.33333333332996
Dicondylia,405.33333333332996
Pterygota (675903),405.33333333332996
Neoptera,370.20699166666293
Orthopteroidea,265.3333333333299
1506861,211.3260833333299
Orthoptera,155.3333333333299
Caelifera,123.9817017228019
Acridomorpha,100.7967262933175
Acridoidea,80.2267828449294
