Hamster,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.0754451696938
Amniota,323.85715666666283
Mammalia,182.52639583332984
Theria,166.99876833332985
Eutheria,108.34299128204783
Boreoeutheria,100.78521379084623
Euarchontoglires,94.22883293110763
Glires,87.86745692307343
Rodentia,80.53143264367463
Sciurognathi,80.53143264367463
2027159,77.34541976190123
2027160,73.73333333332982
2027161,73.73333333332982
2027162,62.20359999999653
Muroidea,51.33333333332983
2027285,49.43333333332983
2027286,46.33333333332983
2027287,46.33333333332983
Cricetidae,35.35597999999653
Cricetinae,22.35333333332983
