Hazel,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333297
Streptophyta,757.1458473333297
Embryophyta,554.8835853333297
48507,518.4392558333298
Tracheophyta,435.0522522222187
Euphyllophyta,407.9247917948677
Spermatophyta,321.3497333333297
Magnoliophyta,191.29828333332972
Mesangiospermae,158.33333333332973
55894,146.30910855184874
55895,143.0961526666627
eudicotyledons,131.53834272332972
Gunneridae,124.33333333332972
55910,124.33333333332972
Pentapetalae,124.33333333332972
55912,117.33333333332972
55913,117.33333333332972
rosids,117.33333333332972
fabids,117.33333333332972
55916,117.33333333332972
55917,97.97571025640661
Fagales,89.5952933333297
82210,73.0507233333297
82211,57.42286333332971
82212,54.53333333332971
82312,54.53333333332971
Betulaceae,54.53333333332971
82729,54.53333333332971
Corylus,21.526666666663004
