Hermit crabs,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333294
563254,939.3333333333294
Metazoa,939.3333333333294
Eumetazoa,939.3333333333294
564202,939.3333333333294
Bilateria,850.3327392156824
Protostomia,747.3333333333294
Ecdysozoa,747.3333333333294
Panarthropoda,747.3333333333294
Arthropoda,673.0005333333294
Mandibulata,646.6913333333293
Pancrustacea,599.3333333333294
Crustacea,567.8581333333294
Malacostraca,325.3333333333294
Eumalacostraca,325.3333333333294
589639,325.3333333333294
Eucarida,325.3333333333294
Decapoda,325.3333333333294
Pleocyemata,324.6011904761864
Anomura,292.8333333333294
