Herons,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Sauria,281.1099872463733
Testudines + Archosauria group,255.92490701754127
Archosauria,241.67019874999727
Dinosauria,185.49056785139027
Coelurosauria,141.79479513572926
Aves,120.79663696969428
Neognathae,105.60974721794528
2009853,95.23077045640719
2009854,93.14222084761599
2009855,91.13333333333028
2021136,91.13333333333028
2021137,91.13333333333028
Ciconiiformes,84.8518333871095
Ardeidae,36.49966152014349
