Herring,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.22776681332977
Euteleostomi,432.9552881287848
Actinopterygii,389.98518233332976
Actinopteri,341.71397999999675
Neopterygii,315.3964666666628
Teleostei,287.3333333333298
Osteoglossocephalai,287.3333333333298
Clupeocephala,234.8629783333298
Otomorpha,234.8629783333298
2074711,205.2312266666628
Clupeiformes,183.93053333332978
Clupeoidei,103.28100833332999
Clupeidae,75.59533333332979
Clupeinae,58.82047619047269
Clupea,6.768333333329792
