Honeysuckle,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208597
Archaeplastida,1499.0395333333297
16685,1398.9007222222197
Chloroplastida,986.3333333333297
Streptophyta,757.1458473333297
Embryophyta,554.8835853333297
48507,518.4392558333298
Tracheophyta,435.0522522222188
Euphyllophyta,407.92479179486776
Spermatophyta,321.34973333332977
Magnoliophyta,191.29828333332978
Mesangiospermae,158.3333333333298
55894,146.3091085518488
55895,143.0961526666628
eudicotyledons,131.53834272332978
Gunneridae,124.33333333332979
55910,124.33333333332979
Pentapetalae,124.33333333332979
147703,120.35221133332979
147704,118.9943469606028
147705,117.5788025649088
asterids,116.1586180392118
148257,111.3333333333298
148258,111.3333333333298
campanulids,111.3333333333298
148322,106.9278927366628
148323,94.6181342424207
Dipsacales,84.7333333333298
Caprifoliaceae,56.0833629532128
Lonicera,12.981895424833056
