Horseshoe Crabs,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Protostomia,747.33333333333
Ecdysozoa,747.33333333333
Panarthropoda,747.33333333333
Arthropoda,673.0005333333299
Chelicerata,579.4199999999969
1668470,546.3833333333299
Merostomata,353.96311111110793
Xiphosura,202.81666666666294
Limulidae,58.73333333332994
