Hortensia,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333302
Streptophyta,757.1458473333302
Embryophyta,554.8835853333302
48507,518.4392558333302
Tracheophyta,435.05225222221924
Euphyllophyta,407.9247917948682
Spermatophyta,321.3497333333302
Magnoliophyta,191.29828333333023
Mesangiospermae,158.33333333333024
55894,146.30910855184925
55895,143.09615266666324
eudicotyledons,131.53834272333023
Gunneridae,124.33333333333024
55910,124.33333333333024
Pentapetalae,124.33333333333024
147703,120.35221133333025
147704,118.99434696060325
147705,117.57880256490925
asterids,116.15861803921226
Cornales,104.27690888888625
147836,101.07217333333026
147837,101.07217333333026
Hydrangeaceae,82.87577333333026
147843,71.16871333333026
147915,50.41339333333026
147925,45.628363333330256
147940,43.33333333333026
147941,43.33333333333026
Hydrangea,42.60092466666356
