Housefly,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333304
563254,939.3333333333304
Metazoa,939.3333333333304
Eumetazoa,939.3333333333304
564202,939.3333333333304
Bilateria,850.3327392156834
Protostomia,747.3333333333304
Ecdysozoa,747.3333333333304
Panarthropoda,747.3333333333304
Arthropoda,673.0005333333304
Mandibulata,646.6913333333304
Pancrustacea,599.3333333333304
Hexapoda,498.4733333333304
673916,436.5833333333304
Insecta,405.3333333333304
Dicondylia,405.3333333333304
Pterygota (675903),405.3333333333304
Neoptera,370.2069916666634
Endopterygota,351.33333333333036
797707,304.64669999999734
1014004,271.23333333333034
1014005,257.3333333333303
Diptera,257.3333333333303
Brachycera,201.33333333333033
1014008,201.33333333333033
Muscomorpha,199.33333333333033
1014988,191.92999999999734
Eremoneura,159.19333333333034
Cyclorrhapha,152.62333333333035
Schizophora,94.53333333333035
Calyptratae,69.05555555555254
Muscoidea,53.64444444444144
Muscidae,37.05411904761604
