Human,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Mammalia,182.5263958333303
Theria (2026074),166.9987683333303
Eutheria (2026898),108.34299128204832
Boreoeutheria,100.78521379084671
Euarchontoglires,94.22883293110812
2032192,89.22089999999692
2032193,84.64257083333031
Primates,79.20523280701451
Haplorrhini,70.97017333333031
Simiiformes,46.3928707751908
Catarrhini,32.4597134502894
Hominoidea,23.242007619044603
Hominidae,19.114749374997004
Homininae,12.238296382975692
2032839,9.904886666663632
Homo,6.619109999996962
Homo sapiens,3.3333333333303017
