Hummingbirds,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata (1993220),634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.0754451696941
Amniota,323.8571566666631
Sauria,281.1099872463731
Testudines + Archosauria group,255.9249070175411
Archosauria,241.6701987499971
Dinosauria,185.4905678513901
Coelurosauria,141.7947951357291
Aves,120.7966369696941
Neognathae,105.6097472179451
2009853,95.230770456407
2009854,93.1422208476158
2009855,91.1333333333301
2009856,91.1333333333301
2009857,90.1333333333301
2009858,90.1333333333301
2009859,85.73333333333011
2009860,64.9838774333301
Trochilidae,23.478664580456098
