Iguana,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.07544516969386
Amniota,323.8571566666629
Sauria,281.1099872463729
Lepidosauria,254.86363749999688
Squamata,215.26955541666288
Bifurcata,215.26955541666288
Unidentata,191.20314133332988
Episquamata,185.3243333333299
Toxicofera,175.1369992424209
2002920,172.2288818333299
Iguania,165.8754339583299
Iguanidae,116.8891849506139
Iguaninae,54.2553683333299
