Ivy,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333301
Streptophyta,757.14584733333
Embryophyta,554.8835853333301
48507,518.4392558333301
Tracheophyta,435.0522522222191
Euphyllophyta,407.9247917948681
Spermatophyta,321.3497333333301
Magnoliophyta,191.29828333333012
Mesangiospermae,158.3333333333301
55894,146.3091085518491
55895,143.0961526666631
eudicotyledons,131.53834272333012
Gunneridae,124.3333333333301
55910,124.3333333333301
Pentapetalae,124.3333333333301
147703,120.3522113333301
147704,118.99434696060311
147705,117.57880256490911
asterids,116.15861803921212
148257,111.33333333333012
148258,111.33333333333012
campanulids,111.33333333333012
148322,106.92789273666311
148323,94.61813424242101
148324,92.52413596333011
148325,91.84298083333012
Apiales,69.49953083333011
148420,65.98447133333012
148421,60.33333333333012
Apiineae,60.33333333333012
148423,36.23333333333012
Araliaceae,36.23333333333012
Hedera,19.78333333333012
