Jasmine,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.3333333333298
Streptophyta,757.1458473333298
Embryophyta,554.8835853333298
48507,518.4392558333299
Tracheophyta,435.0522522222189
Euphyllophyta,407.9247917948679
Spermatophyta,321.3497333333299
Magnoliophyta,191.2982833333299
Mesangiospermae,158.3333333333299
55894,146.3091085518489
55895,143.0961526666629
eudicotyledons,131.5383427233299
Gunneridae,124.33333333332989
55910,124.33333333332989
Pentapetalae,124.33333333332989
147703,120.35221133332989
147704,118.9943469606029
147705,117.5788025649089
asterids,116.1586180392119
148257,111.3333333333299
148258,111.3333333333299
lamiids,98.12248119444101
Lamiales,75.60652033332991
Oleaceae,47.63333333332991
Jasmineae,30.91712123474661
Jasminum,10.30181827232991
