Kiwis,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.0754451696938
Amniota,323.85715666666283
Sauria,281.10998724637284
Testudines + Archosauria group,255.92490701754085
Archosauria,241.67019874999684
Dinosauria,185.49056785138984
Coelurosauria,141.79479513572886
Aves,120.79663696969385
Palaeognathae,92.83333333332985
2009075,92.83333333332985
2009076,76.73333333332985
2009104,67.48686787878444
Apteryx,16.299293333329842
