Ladybug,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333301
Metazoa,939.3333333333301
Eumetazoa,939.3333333333301
564202,939.3333333333301
Bilateria,850.332739215683
Protostomia,747.33333333333
Ecdysozoa,747.33333333333
Panarthropoda,747.33333333333
Arthropoda,673.0005333333299
Mandibulata,646.6913333333299
Pancrustacea,599.33333333333
Hexapoda,498.47333333332995
673916,436.58333333332996
Insecta,405.33333333332996
Dicondylia,405.33333333332996
Pterygota,405.33333333332996
Neoptera,370.20699166666293
Orthopteroidea,265.3333333333299
1506861,211.3260833333299
1506862,197.2427333333299
Dictyoptera,176.6655999999969
1513397,144.3333333333299
Blattodea,144.3333333333299
Corydioidea,108.62751436781292
Corydiidae,74.05714285713941
Corydiinae,59.73333333332991
Polyphaga,31.53333333332992
831799,24.783364333329928
831800,19.783364333329928
831801,9.181128333329937
Cucujiformia,6.983099333329932
893172,6.983099333329932
Cucujoidea,-12.694163738566061
Coccinellidae,-82.09550535975706
Coccinellinae,-113.91120194922405
