Larks,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata (1993220),634.6544213333295
Gnathostomata,486.2277668133295
Euteleostomi,432.9552881287845
Sarcopterygii,415.1914372509765
Dipnotetrapodomorpha,415.1914372509765
Tetrapoda,359.0754451696935
Amniota,323.85715666666255
Sauria,281.10998724637255
Testudines + Archosauria group,255.92490701754053
Archosauria,241.67019874999653
Dinosauria,185.49056785138953
Coelurosauria,141.79479513572852
Aves,120.79663696969354
Neognathae,105.60974721794454
2009853,95.23077045640645
2009854,93.14222084761525
2009855,91.13333333332955
2009856,91.13333333332955
2012288,84.50002956409874
Passeriformes,63.42601224603804
Passeroidea,48.533333333329544
2016799,47.709366666662845
Alaudidae,22.374656285710444
