Lavender,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208606
Archaeplastida,1499.0395333333306
16685,1398.9007222222206
Chloroplastida,986.3333333333305
Streptophyta,757.1458473333305
Embryophyta,554.8835853333305
48507,518.4392558333305
Tracheophyta,435.0522522222196
Euphyllophyta,407.92479179486855
Spermatophyta,321.34973333333056
Magnoliophyta,191.29828333333057
Mesangiospermae,158.33333333333056
55894,146.30910855184953
55895,143.09615266666356
eudicotyledons,131.53834272333054
Gunneridae,124.33333333333054
55910,124.33333333333054
Pentapetalae,124.33333333333054
147703,120.35221133333054
147704,118.99434696060355
147705,117.57880256490955
asterids,116.15861803921256
148257,111.33333333333056
148258,111.33333333333056
lamiids,98.12248119444166
Lamiales,75.60652033333056
Core_Lamiales,70.13333333333055
200000,70.13333333333055
higher_core_Lamiales,66.44617272893505
Lamiaceae,59.424999999997254
Nepetoideae,59.633333333330555
208892,59.57234883333056
208893,46.95592362333056
Lavandula,25.14462847833056
