Lemurs,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.075445169694
Amniota,323.857156666663
Mammalia,182.52639583333
Theria,166.99876833333002
Eutheria,108.34299128204803
Boreoeutheria,100.78521379084643
Euarchontoglires,94.22883293110783
2032192,89.22089999999662
2032193,84.64257083333003
Primates,79.20523280701423
Strepsirrhini,64.13333333333003
Lemuriformes,40.63333333333003
2032251,40.63333333333003
Lemuridae,25.852557638885628
