Lice,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333294
563254,939.3333333333294
Metazoa,939.3333333333294
Eumetazoa,939.3333333333294
564202,939.3333333333294
Bilateria,850.3327392156824
Protostomia,747.3333333333294
Ecdysozoa,747.3333333333294
Panarthropoda,747.3333333333294
Arthropoda,673.0005333333294
Mandibulata,646.6913333333293
Pancrustacea,599.3333333333294
Hexapoda,498.4733333333294
673916,436.5833333333294
Insecta,405.3333333333294
Dicondylia,405.3333333333294
Pterygota (675903),405.3333333333294
Neoptera,370.20699166666236
Paraneoptera,249.50563333332934
1553501,189.33333333332934
1553502,159.81433333332933
Phthiraptera,119.03684499999633
Anoplura,68.00082833332934
1563957,61.866728333329334
1563999,27.212578916662633
1564000,17.18439478332933
Pthirus,6.328043333329333
