Lilac,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Archaeplastida,1499.03953333333
16685,1398.9007222222199
Chloroplastida,986.3333333333298
Streptophyta,757.1458473333298
Embryophyta,554.8835853333298
48507,518.4392558333299
Tracheophyta,435.05225222221884
Euphyllophyta,407.9247917948678
Spermatophyta,321.3497333333298
Magnoliophyta,191.29828333332983
Mesangiospermae,158.33333333332982
55894,146.3091085518488
55895,143.09615266666282
eudicotyledons,131.5383427233298
Gunneridae,124.3333333333298
55910,124.3333333333298
Pentapetalae,124.3333333333298
147703,120.3522113333298
147704,118.99434696060281
147705,117.57880256490881
asterids,116.15861803921182
148257,111.33333333332982
148258,111.33333333332982
lamiids,98.12248119444092
Lamiales,75.60652033332983
Oleaceae,47.63333333332982
Oleeae,40.141402666663126
Syringa,21.737367999996422
