Lily,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333301
Streptophyta,757.14584733333
Embryophyta,554.8835853333301
48507,518.4392558333301
Tracheophyta,435.0522522222191
Euphyllophyta,407.9247917948681
Spermatophyta,321.3497333333301
Magnoliophyta,191.29828333333012
Mesangiospermae,158.3333333333301
237140,158.3333333333301
Liliopsida,138.3632482905951
Petrosaviidae,123.47950444444109
242773,123.33333333333009
242774,120.33333333333009
242775,120.10876833333009
Liliales,91.96338483333008
Liliaceae,31.919770769227483
Lilium,12.209153439150214
