Lions,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.0754451696941
Amniota,323.8571566666631
Mammalia,182.52639583333013
Theria,166.99876833333013
Eutheria,108.34299128204813
Boreoeutheria,100.78521379084653
Laurasiatheria,92.76544166666342
2034426,85.20914761904442
2034427,81.72584999999681
2034428,80.34703333333012
2034429,79.49026333333012
Carnivora,58.29354678160602
Feliformia,50.25011761904442
2035196,44.03333333333012
2035197,44.03333333333012
Felidae,18.606291666663424
Pantherinae,19.242770833330123
2035266,14.611708333330125
2035267,10.784173333330124
Panthera,8.960836666663454
