Lobster,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Protostomia,747.3333333333303
Ecdysozoa,747.3333333333303
Panarthropoda,747.3333333333303
Arthropoda,673.0005333333303
Mandibulata,646.6913333333302
Pancrustacea,599.3333333333303
Crustacea,567.8581333333303
Malacostraca,325.3333333333303
Eumalacostraca,325.3333333333303
589639,325.3333333333303
Eucarida,325.3333333333303
Decapoda,325.3333333333303
Pleocyemata,324.6011904761873
Astacidea,238.2422222222193
Nephropoidea,176.73472222221932
Nephropidae,109.6666666666633
Homarus,21.3333333333303
