Lorises,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata (1993220),634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.07544516969335
Amniota,323.8571566666624
Mammalia,182.5263958333294
Theria (2026074),166.9987683333294
Eutheria (2026898),108.3429912820474
Boreoeutheria,100.7852137908458
Euarchontoglires,94.22883293110719
2032192,89.22089999999599
2032193,84.64257083332939
Primates,79.2052328070136
Strepsirrhini,64.13333333332939
Lorisiformes,39.634665333329394
