Mackerel,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.22776681332977
Euteleostomi,432.9552881287848
Actinopterygii,389.98518233332976
Actinopteri,341.71397999999675
Neopterygii,315.3964666666628
Teleostei,287.3333333333298
Osteoglossocephalai,287.3333333333298
Clupeocephala,234.86297833332978
Euteleosteomorpha,229.01327533332977
2050974,229.01327533332977
Neoteleostei,157.33333333332976
Eurypterygia,157.33333333332976
Ctenosquamata,151.33333333332976
Acanthomorphata,151.33333333332976
2050996,151.33333333332976
Euacanthomorphacea,151.33333333332976
Percomorphaceae,151.33333333332976
2050999,142.33333333332976
2051000,142.33333333332976
2051001,117.33333333332976
2051002,117.33333333332976
Scombriformes,102.53527777777416
Scombridae,69.82613425925565
Scombrinae,72.33333333332976
2051272,72.33333333332976
Scombrini,45.80333333332975
Scomber,29.933333333329756
