Manatees,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133297
Euteleostomi,432.95528812878473
Sarcopterygii,415.1914372509767
Dipnotetrapodomorpha,415.1914372509767
Tetrapoda,359.0754451696937
Amniota,323.8571566666627
Mammalia,182.52639583332973
Theria (2026074),166.99876833332974
Eutheria (2026898),108.34299128204775
2039998,104.12661148147775
Afrotheria,86.62823809523456
2040000,68.63333333332976
2040001,68.63333333332976
Sirenia,42.63341666666305
Trichechidae,30.100046296292756
Trichechus,32.933333333329756
