Maple,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333304
Streptophyta,757.1458473333304
Embryophyta,554.8835853333304
48507,518.4392558333304
Tracheophyta,435.0522522222194
Euphyllophyta,407.9247917948684
Spermatophyta,321.3497333333304
Magnoliophyta,191.29828333333043
Mesangiospermae,158.33333333333042
55894,146.30910855184942
55895,143.09615266666344
eudicotyledons,131.53834272333043
Gunneridae,124.33333333333043
55910,124.33333333333043
Pentapetalae,124.33333333333043
55912,117.33333333333043
55913,117.33333333333043
rosids,117.33333333333043
malvids,109.33333333333043
122471,104.29719333333043
122472,99.23333333333044
122473,99.23333333333044
Sapindales,99.23333333333044
122488,87.23333333333044
124497,87.23333333333044
124498,67.73333333333044
Aceraceae,66.74160833333043
Acer,44.89559180327524
