Minnow,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133302
Euteleostomi,432.95528812878524
Actinopterygii,389.9851823333303
Actinopteri,341.71397999999726
Neopterygii,315.3964666666633
Teleostei,287.3333333333303
Osteoglossocephalai,287.3333333333303
Clupeocephala,234.86297833333032
Otomorpha,234.86297833333032
2074711,205.2312266666633
Ostariophysi,204.3333333333303
Otophysa,179.3333333333303
Cypriniformes,155.3333333333303
Cyprinidae,89.5700032362066
Phoxinus,46.4516682847684
Phoxinus phoxinus,3.3333333333303017
