Mint,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333304
Streptophyta,757.1458473333304
Embryophyta,554.8835853333304
48507,518.4392558333304
Tracheophyta,435.0522522222194
Euphyllophyta,407.9247917948684
Spermatophyta,321.3497333333304
Magnoliophyta,191.2982833333304
Mesangiospermae,158.33333333333042
55894,146.30910855184942
55895,143.09615266666341
eudicotyledons,131.5383427233304
Gunneridae,124.3333333333304
55910,124.3333333333304
Pentapetalae,124.3333333333304
147703,120.3522113333304
147704,118.99434696060341
147705,117.57880256490941
asterids,116.15861803921241
148257,111.33333333333042
148258,111.33333333333042
lamiids,98.12248119444152
Lamiales,75.60652033333042
Core_Lamiales,70.13333333333043
200000,70.13333333333043
higher_core_Lamiales,66.44617272893493
Lamiaceae,59.42499999999712
Nepetoideae,59.63333333333042
Mentheae,34.80344728948042
Mentha,9.639273813663749
