Mosquito,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Protostomia,747.3333333333295
Ecdysozoa,747.3333333333295
Panarthropoda,747.3333333333295
Arthropoda,673.0005333333295
Mandibulata,646.6913333333295
Pancrustacea,599.3333333333295
Hexapoda,498.4733333333295
673916,436.5833333333295
Insecta,405.3333333333295
Dicondylia,405.3333333333295
Pterygota,405.3333333333295
Neoptera,370.2069916666625
Endopterygota,351.33333333332945
797707,304.64669999999643
1014004,271.2333333333294
1014005,257.3333333333294
Diptera,257.3333333333294
Nematocera,248.04761904761543
Culicomorpha,237.33333333332942
Culicoidea,167.33333333332942
Culicidae,167.33333333332942
Culicinae,166.61619047618643
Culicini,166.29833333332942
Culex,109.71326388888542
Culex subgenus Culex,71.23541666666273
Culex pipiens complex,44.07458333332943
