Mouse,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.0754451696936
Amniota,323.8571566666626
Mammalia,182.52639583332962
Theria,166.99876833332962
Eutheria,108.3429912820476
Boreoeutheria,100.785213790846
Euarchontoglires,94.2288329311074
Glires,87.8674569230732
Rodentia,80.5314326436744
Sciurognathi,80.5314326436744
2027159,77.34541976190101
2027160,73.73333333332961
2027161,73.73333333332961
2027162,62.203599999996314
Muroidea,51.33333333332961
2027285,49.433333333329614
2027286,46.33333333332961
2028343,46.33333333332961
Muridae,42.63333333332961
Murinae,24.450340427446413
Mus,13.09333333332961
