Naked mole-rat,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata,634.6544213333293
Gnathostomata,486.22776681332937
Euteleostomi,432.9552881287844
Sarcopterygii,415.1914372509764
Dipnotetrapodomorpha,415.1914372509764
Tetrapoda,359.07544516969335
Amniota,323.8571566666624
Mammalia,182.5263958333294
Theria,166.9987683333294
Eutheria,108.3429912820474
Boreoeutheria,100.78521379084579
Euarchontoglires,94.22883293110719
Glires,87.867456923073
Rodentia,80.5314326436742
Hystricognathi,63.83333333332939
2031209,51.24878761904369
2031210,49.45550859648729
2031211,44.570074999996095
Bathyergidae,41.16542499999609
Heterocephalus glaber,3.333333333329392
