New World monkeys,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.07544516969386
Amniota,323.8571566666629
Mammalia,182.5263958333299
Theria (2026074),166.9987683333299
Eutheria (2026898),108.34299128204789
Boreoeutheria,100.78521379084629
Euarchontoglires,94.22883293110769
2032192,89.22089999999649
2032193,84.64257083332988
Primates,79.20523280701408
Haplorrhini,70.97017333332988
Simiiformes,46.39287077519039
Platyrrhini,24.646682833329887
2032464,23.50833649122459
2032465,22.414003809520388
Cebidae,21.63653513227169
Cebus,7.8626549537002575
