New World porcupine,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.0754451696939
Amniota,323.85715666666295
Mammalia,182.52639583332996
Theria,166.99876833332996
Eutheria,108.34299128204795
Boreoeutheria,100.78521379084634
Euarchontoglires,94.22883293110775
Glires,87.86745692307355
Rodentia,80.53143264367475
Hystricognathi,63.83333333332994
2031209,51.248787619044236
2031210,49.45550859648784
2031250,40.140262619044236
2031251,37.84220499999664
Erethizontidae,29.233333333329938
