Newt,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333304
563254,939.3333333333304
Metazoa,939.3333333333304
Eumetazoa,939.3333333333304
564202,939.3333333333304
Bilateria,850.3327392156834
Deuterostomia,730.3111111111084
Chordata,736.3333333333304
Vertebrata (1993220),634.6544213333304
Gnathostomata,486.2277668133304
Euteleostomi,432.9552881287854
Sarcopterygii,415.1914372509774
Dipnotetrapodomorpha,415.1914372509774
Tetrapoda,359.07544516969443
Amphibia,327.78554333333045
Batrachia,300.92858333333044
Caudata,208.28841060428545
Salamandroidea,186.44272083333044
2041335,157.20760083333045
Salamandridae,95.97773809523517
Pleurodelinae,61.16078904761616
