Octopodes,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Opisthokonta,1305.83351794871
Holozoa,994.1680333333301
563254,939.3333333333301
Metazoa,939.3333333333301
Eumetazoa,939.3333333333301
564202,939.3333333333301
Bilateria,850.3327392156831
Protostomia,747.3333333333301
Lophotrochozoa,579.3333333333301
Mollusca,544.7792269841241
Cephalopoda,426.4346158333301
Neocoleoidea,353.3333333333301
Octopodiformes,300.3333333333301
Octopoda,300.3333333333301
Incirrata,113.10790976190206
Octopodidae,87.99533772893457
Octopus,25.528749999996762
