Old World porcupine,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133295
Euteleostomi,432.9552881287845
Sarcopterygii,415.1914372509765
Dipnotetrapodomorpha,415.1914372509765
Tetrapoda,359.0754451696935
Amniota,323.85715666666255
Mammalia,182.52639583332956
Theria,166.99876833332956
Eutheria,108.34299128204758
Boreoeutheria,100.78521379084597
Euarchontoglires,94.22883293110738
Glires,87.86745692307318
Rodentia,80.53143264367438
Hystricognathi,63.83333333332958
2031209,51.248787619043874
Hystricidae,26.633333333329574
