Olive,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.33333333333027
55894,146.30910855184928
55895,143.09615266666327
eudicotyledons,131.53834272333026
Gunneridae,124.33333333333027
55910,124.33333333333027
Pentapetalae,124.33333333333027
147703,120.35221133333027
147704,118.99434696060328
147705,117.57880256490928
asterids,116.15861803921229
148257,111.33333333333029
148258,111.33333333333029
lamiids,98.12248119444139
Lamiales,75.6065203333303
Oleaceae,47.6333333333303
Oleeae,40.1414026666636
Olea,25.910311355308302
Olea europaea,3.3333333333303017
