Opossums,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata,634.65442133333
Gnathostomata,486.22776681333005
Euteleostomi,432.95528812878507
Sarcopterygii,415.19143725097706
Dipnotetrapodomorpha,415.19143725097706
Tetrapoda,359.07544516969404
Amniota,323.85715666666306
Mammalia,182.5263958333301
Theria,166.9987683333301
Metatheria,87.53959733333011
Didelphimorphia,61.038290259256016
Didelphidae,45.53333333333012
Didelphinae,41.16712307691982
Didelphis,17.03333333333012
