Orangutans,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata (1993220),634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.0754451696939
Amniota,323.85715666666295
Mammalia,182.52639583332993
Theria (2026074),166.99876833332993
Eutheria (2026898),108.34299128204793
Boreoeutheria,100.78521379084633
Euarchontoglires,94.22883293110773
2032192,89.22089999999653
2032193,84.64257083332993
Primates,79.20523280701413
Haplorrhini,70.97017333332994
Simiiformes,46.39287077519043
Catarrhini,32.45971345028903
Hominoidea,23.242007619044234
Hominidae,19.114749374996634
Pongo,8.356353333329935
