Otter,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.16803333333
563254,939.33333333333
Metazoa,939.33333333333
Eumetazoa,939.33333333333
564202,939.33333333333
Bilateria,850.332739215683
Deuterostomia,730.311111111108
Chordata,736.33333333333
Vertebrata (1993220),634.65442133333
Gnathostomata,486.22776681332994
Euteleostomi,432.95528812878496
Sarcopterygii,415.19143725097695
Dipnotetrapodomorpha,415.19143725097695
Tetrapoda,359.0754451696939
Amniota,323.85715666666295
Mammalia,182.52639583332993
Theria (2026074),166.99876833332993
Eutheria (2026898),108.34299128204793
Boreoeutheria,100.78521379084633
Laurasiatheria,92.76544166666322
2034426,85.20914761904422
2034427,81.72584999999661
2034428,80.34703333332992
2034429,79.49026333332992
Carnivora,58.29354678160581
Caniformia,49.089767701751015
2034629,43.62108333332992
2034630,43.09507499999661
2034631,38.26960555555212
2034632,37.398049999996616
2034633,32.704850833329914
Mustelidae,24.255021783329916
Lutrinae,12.868630833329917
