Palm,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208593
Archaeplastida,1499.0395333333292
16685,1398.9007222222192
Chloroplastida,986.3333333333293
Streptophyta,757.1458473333292
Embryophyta,554.8835853333293
48507,518.4392558333293
Tracheophyta,435.0522522222183
Euphyllophyta,407.9247917948673
Spermatophyta,321.3497333333293
Magnoliophyta,191.29828333332932
Mesangiospermae,158.3333333333293
237140,158.3333333333293
Liliopsida,138.3632482905943
Petrosaviidae,123.47950444444031
242773,123.3333333333293
commelinids,123.3333333333293
280511,112.3333333333293
280512,112.3333333333293
Arecaceae,81.6026413333293
