Papaya,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.05225222221935
Euphyllophyta,407.9247917948683
Spermatophyta,321.34973333333033
Magnoliophyta,191.29828333333035
Mesangiospermae,158.33333333333033
55894,146.30910855184933
55895,143.09615266666333
eudicotyledons,131.53834272333032
Gunneridae,124.33333333333032
55910,124.33333333333032
Pentapetalae,124.33333333333032
55912,117.33333333333032
55913,117.33333333333032
rosids,117.33333333333032
malvids,109.33333333333032
122471,104.29719333333031
122472,99.23333333333031
125257,91.8333333333303
Brassicales,70.2152939583304
Caricaceae,46.063474843747
Carica,25.627320208330303
Carica papaya,3.3333333333303017
