Parrots,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.07544516969364
Amniota,323.85715666666266
Sauria,281.10998724637267
Testudines + Archosauria group,255.92490701754068
Archosauria,241.67019874999667
Dinosauria,185.49056785138967
Coelurosauria,141.7947951357287
Aves,120.79663696969368
Neognathae,105.60974721794467
2009853,95.23077045640657
2009854,93.14222084761538
2009855,91.13333333332969
2009856,91.13333333332969
2009857,90.13333333332969
2009858,90.13333333332969
Psittaciformes,58.66778333332968
