Parsley,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
55894,146.3091085518493
55895,143.0961526666633
eudicotyledons,131.5383427233303
Gunneridae,124.3333333333303
55910,124.3333333333303
Pentapetalae,124.3333333333303
147703,120.3522113333303
147704,118.99434696060331
147705,117.57880256490931
asterids,116.15861803921231
148257,111.33333333333032
148258,111.33333333333032
campanulids,111.33333333333032
148322,106.92789273666331
148323,94.6181342424212
148324,92.52413596333031
148325,91.84298083333032
Apiales,69.49953083333031
148420,65.9844713333303
148421,60.3333333333303
Apiineae,60.3333333333303
150632,59.7333333333303
Apiaceae,51.3514285714255
Apioideae,56.9989585714255
apioid superclade,40.2165915811936
Apieae,18.092013690473102
Petroselinum,12.203333333330301
Petroselinum crispum,3.3333333333303017
