Peanuts,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208602
Archaeplastida,1499.0395333333302
16685,1398.90072222222
Chloroplastida,986.3333333333302
Streptophyta,757.1458473333302
Embryophyta,554.8835853333302
48507,518.4392558333302
Tracheophyta,435.0522522222192
Euphyllophyta,407.92479179486816
Spermatophyta,321.34973333333016
Magnoliophyta,191.29828333333018
Mesangiospermae,158.33333333333016
55894,146.30910855184916
55895,143.09615266666316
eudicotyledons,131.53834272333017
Gunneridae,124.33333333333016
55910,124.33333333333016
Pentapetalae,124.33333333333016
55912,117.33333333333016
55913,117.33333333333016
rosids,117.33333333333016
fabids,117.33333333333016
55916,117.33333333333016
55917,97.97571025640705
Fabales,82.83333333333016
55940,82.83333333333016
Fabaceae,67.64029463799686
Papilionoideae,59.382008994705764
Dalbergieae,53.20921976911296
Arachis,11.62103333333016
