Pelicans,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata (1993220),634.6544213333295
Gnathostomata,486.2277668133295
Euteleostomi,432.9552881287845
Sarcopterygii,415.1914372509765
Dipnotetrapodomorpha,415.1914372509765
Tetrapoda,359.0754451696935
Amniota,323.85715666666255
Sauria,281.10998724637255
Testudines + Archosauria group,255.92490701754056
Archosauria,241.67019874999656
Dinosauria,185.49056785138956
Coelurosauria,141.79479513572858
Aves,120.79663696969357
Neognathae,105.60974721794457
2009853,95.23077045640647
2023147,89.53333333332958
2023827,89.53333333332958
Pelecaniformes,73.12139884212958
Pelecanus,26.394407333329582
