Penguins,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133296
Euteleostomi,432.9552881287846
Sarcopterygii,415.1914372509766
Dipnotetrapodomorpha,415.1914372509766
Tetrapoda,359.07544516969364
Amniota,323.85715666666266
Sauria,281.10998724637267
Testudines + Archosauria group,255.92490701754068
Archosauria,241.67019874999667
Dinosauria,185.49056785138967
Coelurosauria,141.79479513572866
Aves,120.79663696969365
Neognathae,105.60974721794466
2009853,95.23077045640656
2009854,93.14222084761536
2009855,91.13333333332966
2021136,91.13333333332966
2021830,88.63333333332966
2021831,83.03333333332967
2021832,78.68556047618677
Spheniscidae,34.714920222218566
Aptenodytes,13.314853333329665
