Peony,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.29828333333032
Mesangiospermae,158.3333333333303
55894,146.3091085518493
55895,143.09615266666333
eudicotyledons,131.53834272333032
Gunneridae,124.33333333333032
55910,124.33333333333032
Pentapetalae,124.33333333333032
55912,117.33333333333032
55913,117.33333333333032
Saxifragales,97.39373752136451
Paeonia,50.363535427347415
