Pigeons and doves,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata (1993220),634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.07544516969426
Amniota,323.8571566666633
Sauria,281.1099872463733
Testudines + Archosauria group,255.9249070175413
Archosauria,241.6701987499973
Dinosauria,185.4905678513903
Coelurosauria,141.79479513572932
Aves,120.7966369696943
Neognathae,105.60974721794531
2009853,95.23077045640721
2023147,89.5333333333303
2023148,89.5333333333303
2023149,88.13333333333031
Columbiformes,88.13333333333031
Columbidae,59.36878419749701
