Piranha,mya
cellular organisms,4249.999999999999
16654,4249.999999999999
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333293
563254,939.3333333333293
Metazoa,939.3333333333293
Eumetazoa,939.3333333333293
564202,939.3333333333293
Bilateria,850.3327392156823
Deuterostomia,730.3111111111073
Chordata,736.3333333333293
Vertebrata (1993220),634.6544213333293
Gnathostomata,486.2277668133293
Euteleostomi,432.95528812878433
Actinopterygii,389.98518233332936
Actinopteri,341.71397999999635
Neopterygii,315.3964666666624
Teleostei,287.3333333333294
Osteoglossocephalai,287.3333333333294
Clupeocephala,234.8629783333294
Otomorpha,234.8629783333294
2074711,205.23122666666242
Ostariophysi,204.33333333332942
Otophysa,179.33333333332942
Characiphysae,179.33333333332942
2084015,179.33333333332942
Characiformes,179.33333333332942
Characoidei,172.9138236666624
Serrasalmidae,48.6881833333294
Pygocentrus,5.963333333329392
Pygocentrus nattereri,3.333333333329392
