Pomelo,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
55894,146.3091085518493
55895,143.0961526666633
eudicotyledons,131.5383427233303
Gunneridae,124.3333333333303
55910,124.3333333333303
Pentapetalae,124.3333333333303
55912,117.3333333333303
55913,117.3333333333303
rosids,117.3333333333303
malvids,109.3333333333303
122471,104.2971933333303
122472,99.2333333333303
122473,99.2333333333303
Sapindales,99.2333333333303
122488,87.2333333333303
122489,87.2333333333303
122490,82.53333333333029
122491,82.53333333333029
Rutaceae,71.7812117504125
Citrus,11.364833333330301
Citrus maxima,3.3333333333303017
