Praying mantis,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333303
563254,939.3333333333303
Metazoa,939.3333333333303
Eumetazoa,939.3333333333303
564202,939.3333333333303
Bilateria,850.3327392156833
Protostomia,747.3333333333303
Ecdysozoa,747.3333333333303
Panarthropoda,747.3333333333303
Arthropoda,673.0005333333303
Mandibulata,646.6913333333302
Pancrustacea,599.3333333333303
Hexapoda,498.4733333333303
673916,436.5833333333303
Insecta,405.3333333333303
Dicondylia,405.3333333333303
Pterygota (675903),405.3333333333303
Neoptera,370.20699166666327
Orthopteroidea,265.3333333333303
1506861,211.3260833333303
1506862,197.2427333333303
Dictyoptera (1510295),176.6655999999973
Mantodea,132.76060512820231
Mantidae,105.93624242423931
Mantinae,69.12999999999701
Mantini,73.87333333333031
1511703,54.3633333333303
Mantis,28.848333333330302
Mantis religiosa,3.3333333333303017
