Python,mya
cellular organisms,4250.000000000001
16654,4250.000000000001
Eukaryota,1765.3418838208604
Opisthokonta,1305.8335179487103
Holozoa,994.1680333333302
563254,939.3333333333302
Metazoa,939.3333333333302
Eumetazoa,939.3333333333302
564202,939.3333333333302
Bilateria,850.3327392156832
Deuterostomia,730.3111111111082
Chordata,736.3333333333302
Vertebrata,634.6544213333302
Gnathostomata,486.2277668133303
Euteleostomi,432.9552881287853
Sarcopterygii,415.1914372509773
Dipnotetrapodomorpha,415.1914372509773
Tetrapoda,359.0754451696943
Amniota,323.85715666666334
Sauria,281.10998724637335
Lepidosauria,254.86363749999734
Squamata,215.26955541666334
Bifurcata,215.26955541666334
Unidentata,191.20314133333034
Episquamata,185.32433333333034
Toxicofera,175.13699924242135
Serpentes,136.33333333333036
1998658,90.13333333333036
Henophidia,90.13333333333036
2002555,76.31572948717645
2002556,76.31572948717645
Pythonidae,51.616909282048255
