Rabbits and hares,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata (1993220),634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.0754451696938
Amniota,323.85715666666283
Mammalia,182.52639583332984
Theria (2026074),166.99876833332985
Eutheria (2026898),108.34299128204786
Boreoeutheria,100.78521379084626
Euarchontoglires,94.22883293110766
Glires,87.86745692307346
Lagomorpha,54.567059541663156
Leporidae,25.272303030299554
