Raccoons,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208595
Opisthokonta,1305.8335179487094
Holozoa,994.1680333333295
563254,939.3333333333295
Metazoa,939.3333333333295
Eumetazoa,939.3333333333295
564202,939.3333333333295
Bilateria,850.3327392156825
Deuterostomia,730.3111111111075
Chordata,736.3333333333295
Vertebrata,634.6544213333295
Gnathostomata,486.2277668133295
Euteleostomi,432.9552881287845
Sarcopterygii,415.1914372509765
Dipnotetrapodomorpha,415.1914372509765
Tetrapoda,359.07544516969347
Amniota,323.8571566666625
Mammalia,182.52639583332947
Theria,166.99876833332948
Eutheria,108.34299128204748
Boreoeutheria,100.78521379084587
Laurasiatheria,92.76544166666277
2034426,85.20914761904376
2034427,81.72584999999616
2034428,80.34703333332946
2034429,79.49026333332947
Carnivora,58.293546781605365
Caniformia,49.08976770175057
2034629,43.621083333329466
2034630,43.095074999996164
2034631,38.269605555551664
2034632,37.39804999999617
2034633,32.704850833329466
Procyonidae,22.313683777773868
Procyon,6.738968333329467
